model_id,model_name,author,downloads,likes,tags,pipeline_tag,gated,hf_url,inference_api
deepseek-ai/DeepSeek-R1,DeepSeek-R1,deepseek-ai,4434868,13337,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2501.12948,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/deepseek-ai/DeepSeek-R1,https://api-inference.huggingface.co/models/deepseek-ai/DeepSeek-R1/v1
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,deepseek-ai,4307403,1436,"transformers,safetensors,deepseek_v32,text-generation,conversational,base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base,base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base,license:mit,eval-results,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,https://api-inference.huggingface.co/models/deepseek-ai/DeepSeek-V3.2/v1
google/gemma-3-270m,gemma-3-270m,google,4041121,1026,"transformers,safetensors,gemma3_text,text-generation,gemma3,gemma,google,arxiv:2503.19786,arxiv:1905.07830,arxiv:1905.10044,arxiv:1911.11641,arxiv:1705.03551,arxiv:1911.01547,arxiv:1907.10641,arxiv:2311.07911,arxiv:2311.12022,arxiv:2411.04368,arxiv:1904.09728,arxiv:1903.00161,arxiv:2009.03300,arxiv:2304.06364,arxiv:2103.03874,arxiv:2110.14168,arxiv:2108.07732,arxiv:2107.03374,arxiv:2403.07974,arxiv:2305.03111,arxiv:2405.04520,arxiv:2210.03057,arxiv:2106.03193,arxiv:1910.11856,arxiv:2502.12404,arxiv:2502.21228,arxiv:2404.16816,arxiv:2104.12756,arxiv:2311.16502,arxiv:2203.10244,arxiv:2404.12390,arxiv:1810.12440,arxiv:1908.02660,arxiv:2310.02255,arxiv:2312.11805,license:gemma,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/google/gemma-3-270m,https://api-inference.huggingface.co/models/google/gemma-3-270m/v1
Qwen/Qwen3Guard-Gen-0.6B,Qwen3Guard-Gen-0.6B,Qwen,3862810,73,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2510.14276,base_model:Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3Guard-Gen-0.6B,https://api-inference.huggingface.co/models/Qwen/Qwen3Guard-Gen-0.6B/v1
hmellor/tiny-random-LlamaForCausalLM,tiny-random-LlamaForCausalLM,hmellor,3840355,0,"transformers,safetensors,llama,text-generation,conversational,arxiv:1910.09700,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/hmellor/tiny-random-LlamaForCausalLM,https://api-inference.huggingface.co/models/hmellor/tiny-random-LlamaForCausalLM/v1
Qwen/Qwen3-1.7B,Qwen3-1.7B,Qwen,3713166,474,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-1.7B-Base,base_model:finetune:Qwen/Qwen3-1.7B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-1.7B,https://api-inference.huggingface.co/models/Qwen/Qwen3-1.7B/v1
distilbert/distilgpt2,distilgpt2,distilbert,3481945,630,"transformers,pytorch,tf,jax,tflite,rust,coreml,safetensors,gpt2,text-generation,exbert,en,dataset:openwebtext,arxiv:1910.01108,arxiv:2201.08542,arxiv:2203.12574,arxiv:1910.09700,arxiv:1503.02531,license:apache-2.0,model-index,co2_eq_emissions,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,False,https://huggingface.co/distilbert/distilgpt2,https://api-inference.huggingface.co/models/distilbert/distilgpt2/v1
mistralai/Mistral-7B-Instruct-v0.2,Mistral-7B-Instruct-v0.2,mistralai,3222628,3147,"transformers,pytorch,safetensors,mistral,text-generation,finetuned,mistral-common,conversational,arxiv:2310.06825,license:apache-2.0,text-generation-inference,region:us,deploy:azure",,False,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,https://api-inference.huggingface.co/models/mistralai/Mistral-7B-Instruct-v0.2/v1
unsloth/Qwen3-Coder-Next-GGUF,Qwen3-Coder-Next-GGUF,unsloth,3028710,645,"gguf,qwen3_next,unsloth,qwen,qwen3,text-generation,base_model:Qwen/Qwen3-Coder-Next,base_model:quantized:Qwen/Qwen3-Coder-Next,license:apache-2.0,endpoints_compatible,region:us,imatrix,conversational",,False,https://huggingface.co/unsloth/Qwen3-Coder-Next-GGUF,https://api-inference.huggingface.co/models/unsloth/Qwen3-Coder-Next-GGUF/v1
EleutherAI/pythia-160m,pythia-160m,EleutherAI,2989905,42,"transformers,pytorch,safetensors,gpt_neox,text-generation,causal-lm,pythia,en,dataset:EleutherAI/pile,arxiv:2304.01373,arxiv:2101.00027,arxiv:2201.07311,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/EleutherAI/pythia-160m,https://api-inference.huggingface.co/models/EleutherAI/pythia-160m/v1
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,deepseek-ai,2703252,1206,"transformers,safetensors,deepseek_v4,text-generation,conversational,license:mit,eval-results,endpoints_compatible,8-bit,fp8,region:us",,False,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,https://api-inference.huggingface.co/models/deepseek-ai/DeepSeek-V4-Flash/v1
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen2.5-7B-Instruct-AWQ,Qwen,2504975,43,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B-Instruct,base_model:quantized:Qwen/Qwen2.5-7B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-7B-Instruct-AWQ/v1
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen,2482084,337,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-14B,base_model:finetune:Qwen/Qwen2.5-14B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-14B-Instruct/v1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,TinyLlama,2470331,1590,"transformers,safetensors,llama,text-generation,conversational,en,dataset:cerebras/SlimPajama-627B,dataset:bigcode/starcoderdata,dataset:HuggingFaceH4/ultrachat_200k,dataset:HuggingFaceH4/ultrafeedback_binarized,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,False,https://huggingface.co/TinyLlama/TinyLlama-1.1B-Chat-v1.0,https://api-inference.huggingface.co/models/TinyLlama/TinyLlama-1.1B-Chat-v1.0/v1
meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,meta-llama,2463393,6545,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,license:llama3,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/meta-llama/Meta-Llama-3-8B,https://api-inference.huggingface.co/models/meta-llama/Meta-Llama-3-8B/v1
Qwen/Qwen3-0.6B-FP8,Qwen3-0.6B-FP8,Qwen,2427520,61,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-0.6B,base_model:quantized:Qwen/Qwen3-0.6B,license:apache-2.0,text-generation-inference,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/Qwen/Qwen3-0.6B-FP8,https://api-inference.huggingface.co/models/Qwen/Qwen3-0.6B-FP8/v1
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,Qwen,2426409,707,"transformers,safetensors,qwen2,text-generation,code,codeqwen,chat,qwen,qwen-coder,conversational,en,arxiv:2409.12186,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-Coder-7B,base_model:finetune:Qwen/Qwen2.5-Coder-7B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-Coder-7B-Instruct/v1
deepseek-ai/DeepSeek-R1-0528,DeepSeek-R1-0528,deepseek-ai,2420481,2448,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2501.12948,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,https://api-inference.huggingface.co/models/deepseek-ai/DeepSeek-R1-0528/v1
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,Andycurrent,2344192,30,"gguf,uncensored,text-generation,reasoning,instruction-tuned,lightweight,en,base_model:google/gemma-3-1b-it,base_model:quantized:google/gemma-3-1b-it,license:gemma,endpoints_compatible,region:us,conversational",,False,https://huggingface.co/Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,https://api-inference.huggingface.co/models/Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF/v1
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen,2335014,409,"transformers,safetensors,qwen2,text-generation,conversational,en,arxiv:2407.10671,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-0.5B,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-0.5B/v1
nvidia/Gemma-4-31B-IT-NVFP4,Gemma-4-31B-IT-NVFP4,nvidia,2316867,489,"Model Optimizer,safetensors,gemma4,nvidia,ModelOpt,Gemma-4-31B-IT,lighthouse,quantized,NVFP4,text-generation,conversational,base_model:google/gemma-4-31B-it,base_model:quantized:google/gemma-4-31B-it,license:other,modelopt,deploy:azure,region:us",,False,https://huggingface.co/nvidia/Gemma-4-31B-IT-NVFP4,https://api-inference.huggingface.co/models/nvidia/Gemma-4-31B-IT-NVFP4/v1
Qwen/Qwen3-8B-AWQ,Qwen3-8B-AWQ,Qwen,2306733,42,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B,base_model:quantized:Qwen/Qwen3-8B,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us",,False,https://huggingface.co/Qwen/Qwen3-8B-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen3-8B-AWQ/v1
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,Llama-3.2-1B-Instruct-FP8-dynamic,RedHatAI,2261543,4,"safetensors,llama,fp8,vllm,text-generation,conversational,en,de,fr,it,pt,hi,es,th,base_model:meta-llama/Llama-3.2-1B-Instruct,base_model:quantized:meta-llama/Llama-3.2-1B-Instruct,license:llama3.2,compressed-tensors,region:us",,False,https://huggingface.co/RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,https://api-inference.huggingface.co/models/RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic/v1
Qwen/Qwen3-14B,Qwen3-14B,Qwen,2197199,399,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-14B-Base,base_model:finetune:Qwen/Qwen3-14B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/Qwen/Qwen3-14B,https://api-inference.huggingface.co/models/Qwen/Qwen3-14B/v1
moonshotai/Kimi-K2-Instruct-0905,Kimi-K2-Instruct-0905,moonshotai,2144427,713,"transformers,safetensors,kimi_k2,text-generation,conversational,custom_code,license:other,eval-results,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905,https://api-inference.huggingface.co/models/moonshotai/Kimi-K2-Instruct-0905/v1
meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,meta-llama,2098174,2143,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,https://api-inference.huggingface.co/models/meta-llama/Llama-3.2-3B-Instruct/v1
meta-llama/Llama-3.2-1B,Llama-3.2-1B,meta-llama,1997493,2397,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/meta-llama/Llama-3.2-1B,https://api-inference.huggingface.co/models/meta-llama/Llama-3.2-1B/v1
EleutherAI/pythia-70m-deduped,pythia-70m-deduped,EleutherAI,1928012,28,"transformers,pytorch,safetensors,gpt_neox,text-generation,causal-lm,pythia,en,dataset:EleutherAI/the_pile_deduplicated,arxiv:2304.01373,arxiv:2101.00027,arxiv:2201.07311,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/EleutherAI/pythia-70m-deduped,https://api-inference.huggingface.co/models/EleutherAI/pythia-70m-deduped/v1
Qwen/Qwen3-30B-A3B,Qwen3-30B-A3B,Qwen,1914858,889,"transformers,safetensors,qwen3_moe,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-30B-A3B-Base,base_model:finetune:Qwen/Qwen3-30B-A3B-Base,license:apache-2.0,endpoints_compatible,region:us",,False,https://huggingface.co/Qwen/Qwen3-30B-A3B,https://api-inference.huggingface.co/models/Qwen/Qwen3-30B-A3B/v1
Qwen/Qwen3-14B-AWQ,Qwen3-14B-AWQ,Qwen,1897175,64,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-14B,base_model:quantized:Qwen/Qwen3-14B,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us",,False,https://huggingface.co/Qwen/Qwen3-14B-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen3-14B-AWQ/v1
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,Qwen2.5-Coder-14B-Instruct-AWQ,Qwen,1851471,19,"transformers,safetensors,qwen2,text-generation,code,codeqwen,chat,qwen,qwen-coder,conversational,en,arxiv:2409.12186,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-Coder-14B-Instruct,base_model:quantized:Qwen/Qwen2.5-Coder-14B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-Coder-14B-Instruct-AWQ/v1
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen2.5-14B-Instruct-AWQ,Qwen,1802609,35,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-14B-Instruct,base_model:quantized:Qwen/Qwen2.5-14B-Instruct,license:apache-2.0,text-generation-inference,endpoints_compatible,4-bit,awq,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-14B-Instruct-AWQ/v1
nvidia/DeepSeek-R1-0528-NVFP4-v2,DeepSeek-R1-0528-NVFP4-v2,nvidia,1797940,23,"Model Optimizer,safetensors,deepseek_v3,nvidia,ModelOpt,DeepSeekR1,quantized,FP4,text-generation,conversational,custom_code,base_model:deepseek-ai/DeepSeek-R1-0528,base_model:finetune:deepseek-ai/DeepSeek-R1-0528,license:mit,8-bit,region:us",,False,https://huggingface.co/nvidia/DeepSeek-R1-0528-NVFP4-v2,https://api-inference.huggingface.co/models/nvidia/DeepSeek-R1-0528-NVFP4-v2/v1
zai-org/GLM-5-FP8,GLM-5-FP8,zai-org,1787860,176,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en,zh,arxiv:2602.15763,license:mit,endpoints_compatible,fp8,region:us",,False,https://huggingface.co/zai-org/GLM-5-FP8,https://api-inference.huggingface.co/models/zai-org/GLM-5-FP8/v1
prefeitura-rio/Rio-3.0-Open-Mini,Rio-3.0-Open-Mini,prefeitura-rio,1766320,8,"transformers,safetensors,qwen3,text-generation,conversational,pt,en,arxiv:2510.05069,base_model:Qwen/Qwen3-4B-Thinking-2507,base_model:finetune:Qwen/Qwen3-4B-Thinking-2507,license:mit,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/prefeitura-rio/Rio-3.0-Open-Mini,https://api-inference.huggingface.co/models/prefeitura-rio/Rio-3.0-Open-Mini/v1
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen3-Coder-30B-A3B-Instruct,Qwen,1705800,1074,"transformers,safetensors,qwen3_moe,text-generation,conversational,arxiv:2505.09388,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen3-Coder-30B-A3B-Instruct/v1
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,meta-llama,1672972,4533,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,license:llama3,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,False,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,https://api-inference.huggingface.co/models/meta-llama/Meta-Llama-3-8B-Instruct/v1
Qwen/Qwen2.5-7B,Qwen2.5-7B,Qwen,1649592,287,"transformers,safetensors,qwen2,text-generation,conversational,en,arxiv:2407.10671,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-7B,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-7B/v1
Qwen/Qwen2.5-72B-Instruct-AWQ,Qwen2.5-72B-Instruct-AWQ,Qwen,1625622,77,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-72B-Instruct,base_model:quantized:Qwen/Qwen2.5-72B-Instruct,license:other,text-generation-inference,endpoints_compatible,4-bit,awq,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct-AWQ,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-72B-Instruct-AWQ/v1
apple/OpenELM-1_1B-Instruct,OpenELM-1_1B-Instruct,apple,1609319,75,"transformers,safetensors,openelm,text-generation,custom_code,arxiv:2404.14619,license:apple-amlr,region:us",,False,https://huggingface.co/apple/OpenELM-1_1B-Instruct,https://api-inference.huggingface.co/models/apple/OpenELM-1_1B-Instruct/v1
